id,degree,community,component
Nana Lee,1,290,237
DJ FLASH,1,1,1
Kim Seungmin,23,34,1
Miss Pru DJ,21,76,1
Karen Gardelli,0,291,238
Gedz,97,11,1
Lokyto,0,292,239
JEREMINE,1,37,1
Sisters On Wire,1,293,240
Moksi,78,18,1
Mavis Hee,1,20,1
Bag Raiders,23,3,1
Cheb Mami,25,43,1
Cardenales De Nuevo León,6,7,1
Los Nota Lokos,15,7,1
Jérémy Frerot,3,43,1
Ñejo & Dalmata,11,7,1
Lim Changjung,19,34,1
AJ Brix,2,294,241
Ostbahn-Kurti & Die Chefpartie,0,295,242
badmómzjay,13,2,1
AeOBeat,2,296,243
Elams,91,43,1
Boro Boro,42,4,1
Tom. G,52,60,1
James Blunt,52,18,1
88GLAM,14,18,1
OdanDj,2,7,1
Radio Suomipop,4,37,1
Demarco Flamenco,28,7,1
DJ Robin,18,39,1
Keisuke Kuwata,1,297,244
Takeoff,19,18,1
